 0: 0000011011110110000010    x = -0.918425  f = 0.23807033863525406
 1: 1001111101011010101000    x = 0.86743    f = 2.1149950639227426
 2: 0110001101111001011011    x = 0.165715   f = 2.1382533918651556
 3: 1110001110001111000001    x = 1.666704   f = 0.8888026594498921
 4: 1000101011101000101110    x = 0.627841   f = 2.2336567024823495
 5: 0000010000011001101000    x = -0.951952  f = 0.1418354793241916
 6: 1111010101110110010011    x = 1.87651    f = 0.35522121924482297
 7: 0010010000000111100111    x = -0.577777  f = 1.088397665611653
 8: 1110110010011100101010    x = 1.772797   f = 0.6299882674496753
 9: 1011011000111001001111    x = 1.135433   f = 1.846224914085226
10: 1100010010110110000011    x = 1.305209   f = 1.6016384756594408
11: 0011001111010111011100    x = -0.392482  f = 1.4534764882586753
12: 1101110101001110111111    x = 1.59346    f = 1.0543452588394766
13: 1100100101111111111100    x = 1.361326   f = 1.508117819809951
14: 0110011110001101111001    x = 0.213527   f = 2.167933092319385
15: 1011001000010011101100    x = 1.086839   f = 1.9056197301394495
16: 1010000100101000011001    x = 0.888568   f = 2.0990148034129716
17: 0000111010000101101100    x = -0.829818  f = 0.48158480142169724
18: 0100011001010001001011    x = -0.175972  f = 1.793062463616271
19: 1110101110110001110111    x = 1.762049   f = 0.6572331682281609
